from,to
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-03
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-03
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-03
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-03
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-03
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-03
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-03
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-03
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-03
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-03
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-03
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-03
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-03
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-03
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-03
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-03
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-03
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-03
PROD-HBM3E,STATE-PROD-HBM3E-2025-04
PROD-DDR5,STATE-PROD-DDR5-2025-04
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-04
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-04
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-04
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-04
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-04
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-04
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-04
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-04
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-04
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-04
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-04
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-04
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-04
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-04
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-04
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-04
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-04
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-04
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-04
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-04
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-04
PROD-HBM3E,STATE-PROD-HBM3E-2025-05
PROD-DDR5,STATE-PROD-DDR5-2025-05
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-05
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-05
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-05
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-05
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-05
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-05
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-05
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-05
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-05
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-05
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-05
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-05
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-05
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-05
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-05
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-05
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-05
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-05
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-05
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-05
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-05
PROD-HBM3E,STATE-PROD-HBM3E-2025-06
PROD-DDR5,STATE-PROD-DDR5-2025-06
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-06
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-06
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-06
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-06
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-06
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-06
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-06
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-06
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-06
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-06
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-06
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-06
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-06
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-06
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-06
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-06
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-06
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-06
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-06
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-06
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-06
PROD-HBM3E,STATE-PROD-HBM3E-2025-07
PROD-DDR5,STATE-PROD-DDR5-2025-07
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-07
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-07
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-07
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-07
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-07
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-07
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-07
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-07
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-07
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-07
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-07
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-07
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-07
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-07
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-07
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-07
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-07
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-07
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-07
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-07
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-07
PROD-HBM3E,STATE-PROD-HBM3E-2025-08
PROD-DDR5,STATE-PROD-DDR5-2025-08
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-08
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-08
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-08
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-08
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-08
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-08
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-08
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-08
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-08
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-08
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-08
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-08
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-08
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-08
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-08
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-08
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-08
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-08
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-08
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-08
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-08
PROD-HBM3E,STATE-PROD-HBM3E-2025-09
PROD-DDR5,STATE-PROD-DDR5-2025-09
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-09
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-09
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-09
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-09
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-09
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-09
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-09
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-09
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-09
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-09
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-09
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-09
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-09
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-09
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-09
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-09
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-09
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-09
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-09
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-09
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-09
PROD-HBM3E,STATE-PROD-HBM3E-2025-10
PROD-DDR5,STATE-PROD-DDR5-2025-10
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-10
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-10
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-10
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-10
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-10
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-10
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-10
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-10
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-10
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-10
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-10
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-10
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-10
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-10
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-10
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-10
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-10
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-10
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-10
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-10
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-10
PROD-HBM3E,STATE-PROD-HBM3E-2025-11
PROD-DDR5,STATE-PROD-DDR5-2025-11
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-11
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-11
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-11
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-11
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-11
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-11
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-11
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-11
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-11
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-11
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-11
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-11
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-11
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-11
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-11
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-11
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-11
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-11
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-11
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-11
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-11
PROD-HBM3E,STATE-PROD-HBM3E-2025-12
PROD-DDR5,STATE-PROD-DDR5-2025-12
PROD-NAND-238L,STATE-PROD-NAND-238L-2025-12
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2025-12
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2025-12
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2025-12
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2025-12
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2025-12
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2025-12
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2025-12
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2025-12
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2025-12
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2025-12
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2025-12
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2025-12
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2025-12
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2025-12
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2025-12
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2025-12
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2025-12
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2025-12
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2025-12
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2025-12
PROD-HBM3E,STATE-PROD-HBM3E-2026-01
PROD-DDR5,STATE-PROD-DDR5-2026-01
PROD-NAND-238L,STATE-PROD-NAND-238L-2026-01
PROD-V-NAND-V01,STATE-PROD-V-NAND-V01-2026-01
PROD-DDR4-V02,STATE-PROD-DDR4-V02-2026-01
PROD-V-NAND-V03,STATE-PROD-V-NAND-V03-2026-01
PROD-DDR4-V04,STATE-PROD-DDR4-V04-2026-01
PROD-V-NAND-V05,STATE-PROD-V-NAND-V05-2026-01
PROD-DDR4-V06,STATE-PROD-DDR4-V06-2026-01
PROD-V-NAND-V07,STATE-PROD-V-NAND-V07-2026-01
PROD-DDR4-V08,STATE-PROD-DDR4-V08-2026-01
PROD-V-NAND-V09,STATE-PROD-V-NAND-V09-2026-01
PROD-DDR4-V10,STATE-PROD-DDR4-V10-2026-01
PROD-V-NAND-V11,STATE-PROD-V-NAND-V11-2026-01
PROD-DDR4-V12,STATE-PROD-DDR4-V12-2026-01
PROD-V-NAND-V13,STATE-PROD-V-NAND-V13-2026-01
PROD-DDR4-V14,STATE-PROD-DDR4-V14-2026-01
PROD-V-NAND-V15,STATE-PROD-V-NAND-V15-2026-01
PROD-DDR4-V16,STATE-PROD-DDR4-V16-2026-01
PROD-V-NAND-V17,STATE-PROD-V-NAND-V17-2026-01
PROD-DDR4-V18,STATE-PROD-DDR4-V18-2026-01
PROD-V-NAND-V19,STATE-PROD-V-NAND-V19-2026-01
PROD-DDR4-V20,STATE-PROD-DDR4-V20-2026-01
